[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:53 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:54 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:54 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:54 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
[04-Dec-2019 19:34:54 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\cordi.php on line 148
